time,src_ip,dst_ip,src_port,dst_port,protocol,length
2025-09-18 11:31:26.161021,192.168.1.130,103.235.46.102,56842,80,TCP,54
2025-09-18 11:31:26.970639,192.168.1.130,103.235.46.115,56826,80,TCP,54
2025-09-18 11:31:27.671003,192.168.1.130,103.235.46.102,56842,80,TCP,54
2025-09-18 11:31:28.386138,192.168.1.130,103.235.46.115,56798,80,TCP,54
2025-09-18 11:31:30.661188,,,,,TLS,75
2025-09-18 11:31:30.664382,,,443,56743,TCP,74
2025-09-18 11:31:30.664382,,,443,56743,TCP,105
2025-09-18 11:31:30.664382,,,443,56743,TCP,74
2025-09-18 11:31:30.664513,,,56743,443,TCP,74
2025-09-18 11:31:30.664681,,,56743,443,TCP,74
2025-09-18 11:31:30.671380,,,443,56757,TCP,86
2025-09-18 11:31:30.686902,192.168.1.130,103.235.46.102,56842,80,TCP,54
2025-09-18 11:31:31.722425,,,,,ARP,42
2025-09-18 11:31:31.729920,,,,,ARP,42
2025-09-18 11:31:31.806344,,,,,DNS,99
2025-09-18 11:31:31.807640,,,,,DNS,99
2025-09-18 11:31:31.808708,,,,,DNS,99
2025-09-18 11:31:31.819281,,,,,DNS,321
2025-09-18 11:31:31.820026,,,,,DNS,309
2025-09-18 11:31:31.820370,,,,,DNS,365
2025-09-18 11:31:31.824286,,,56845,443,TCP,86
2025-09-18 11:31:31.833674,,,443,56845,TCP,86
2025-09-18 11:31:31.833911,,,56845,443,TCP,74
2025-09-18 11:31:31.854292,,,,,TLS,1474
2025-09-18 11:31:31.854292,,,,,TLS,770
2025-09-18 11:31:31.864081,,,,,TLS,75
2025-09-18 11:31:31.869650,,,443,56845,TCP,74
2025-09-18 11:31:31.869650,,,,,TLS,173
2025-09-18 11:31:31.870921,,,,,TLS,984
2025-09-18 11:31:31.880434,,,,,TLS,1506
2025-09-18 11:31:31.880434,,,443,56845,TCP,1506
2025-09-18 11:31:31.880434,,,443,56845,TCP,1306
2025-09-18 11:31:31.880601,,,56845,443,TCP,74
2025-09-18 11:31:31.880817,,,443,56845,TCP,1506
2025-09-18 11:31:31.880870,,,56845,443,TCP,74
2025-09-18 11:31:31.881004,,,,,TLS,1506
2025-09-18 11:31:31.881004,,,,,TLS,110
2025-09-18 11:31:31.881062,,,56845,443,TCP,74
2025-09-18 11:31:31.890835,,,,,TLS,148
2025-09-18 11:31:31.892241,,,,,TLS,166
2025-09-18 11:31:31.893293,,,,,TLS,347
2025-09-18 11:31:31.900351,,,,,TLS,361
2025-09-18 11:31:31.900351,,,,,TLS,361
2025-09-18 11:31:31.900351,,,,,TLS,136
2025-09-18 11:31:31.900486,,,56845,443,TCP,74
2025-09-18 11:31:31.901419,,,,,TLS,105
2025-09-18 11:31:31.914416,,,443,56845,TCP,74
2025-09-18 11:31:31.914416,,,,,TLS,105
2025-09-18 11:31:31.914416,,,,,TLS,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914416,,,443,56845,TCP,1506
2025-09-18 11:31:31.914816,,,56845,443,TCP,74
2025-09-18 11:31:31.918706,,,443,56845,TCP,1506
2025-09-18 11:31:31.918706,,,,,TLS,1506
2025-09-18 11:31:31.918706,,,443,56845,TCP,1506
2025-09-18 11:31:31.918706,,,443,56845,TCP,1506
2025-09-18 11:31:31.918706,,,443,56845,TCP,1506
2025-09-18 11:31:31.918706,,,443,56845,TCP,1506
2025-09-18 11:31:31.918706,,,443,56845,TCP,1506
2025-09-18 11:31:31.918706,,,443,56845,TCP,1506
2025-09-18 11:31:31.918919,,,56845,443,TCP,74
2025-09-18 11:31:31.919153,,,443,56845,TCP,1506
2025-09-18 11:31:31.919221,,,56845,443,TCP,74
2025-09-18 11:31:31.919354,,,443,55922,TCP,86
2025-09-18 11:31:31.935115,,,443,56845,TCP,1506
2025-09-18 11:31:31.945473,,,443,56845,TCP,1506
2025-09-18 11:31:31.945473,,,443,56845,TCP,1506
2025-09-18 11:31:31.945473,,,,,TLS,1506
2025-09-18 11:31:31.945679,,,56845,443,TCP,74
2025-09-18 11:31:31.954873,,,,,TLS,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,443,56845,TCP,1506
2025-09-18 11:31:31.954873,,,,,TLS,1506
2025-09-18 11:31:31.955322,,,56845,443,TCP,74
2025-09-18 11:31:31.956344,,,443,56845,TCP,1506
2025-09-18 11:31:31.956344,,,443,56845,TCP,1506
2025-09-18 11:31:31.956344,,,443,56845,TCP,1506
2025-09-18 11:31:31.956344,,,443,56845,TCP,1506
2025-09-18 11:31:31.956344,,,443,56845,TCP,1506
2025-09-18 11:31:31.956344,,,443,56845,TCP,1506
2025-09-18 11:31:31.956344,,,,,TLS,1178
2025-09-18 11:31:31.956512,,,56845,443,TCP,74
2025-09-18 11:31:32.092889,,,443,56835,TCP,86
2025-09-18 11:31:33.482510,192.168.1.130,103.235.46.115,56773,80,TCP,54
2025-09-18 11:31:34.291063,,,,,TLS,105
2025-09-18 11:31:34.291190,,,56822,443,TCP,74
2025-09-18 11:31:34.292962,,,443,56822,TCP,74
2025-09-18 11:31:34.292962,,,443,56822,TCP,74
2025-09-18 11:31:34.293109,,,56822,443,TCP,74
2025-09-18 11:31:35.315381,198.144.121.93,192.168.1.130,,,TLS,93
2025-09-18 11:31:35.371606,192.168.1.130,198.144.121.93,56804,443,TCP,54
